Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,0.75,0.75,0.75,0.380704,3200
1973-02-22,0.0,0.734375,0.734375,0.734375,0.372773,3200
1973-02-23,0.734375,0.734375,0.734375,0.734375,0.372773,0
1973-02-26,0.0,0.71875,0.71875,0.71875,0.364841,11200
1973-02-27,0.0,0.734375,0.734375,0.734375,0.372773,22400
1973-02-28,0.0,0.75,0.75,0.75,0.380704,12800
1973-03-01,0.0,0.742188,0.742188,0.742188,0.376739,8000
1973-03-02,0.742188,0.742188,0.742188,0.742188,0.376739,0
1973-03-05,0.742188,0.742188,0.742188,0.742188,0.376739,0
1973-03-06,0.0,0.734375,0.734375,0.734375,0.372773,6400
1973-03-07,0.734375,0.734375,0.734375,0.734375,0.372773,0
1973-03-08,0.0,0.71875,0.71875,0.71875,0.364841,1600
1973-03-09,0.0,0.71875,0.71875,0.71875,0.364841,14400
1973-03-12,0.0,0.6875,0.6875,0.6875,0.348979,22400
1973-03-13,0.0,0.703125,0.703125,0.703125,0.35691,12800
1973-03-14,0.0,0.726563,0.726563,0.726563,0.368807,1600
1973-03-15,0.0,0.757813,0.757813,0.757813,0.38467,8000
1973-03-16,0.0,0.734375,0.734375,0.734375,0.372773,17600
1973-03-19,0.734375,0.734375,0.734375,0.734375,0.372773,0
1973-03-20,0.0,0.703125,0.703125,0.703125,0.35691,9600
1973-03-21,0.703125,0.703125,0.703125,0.703125,0.35691,0
1973-03-22,0.703125,0.703125,0.703125,0.703125,0.35691,0
1973-03-23,0.0,0.6875,0.6875,0.6875,0.348979,1600
1973-03-26,0.0,0.703125,0.703125,0.703125,0.35691,16000
1973-03-27,0.703125,0.703125,0.703125,0.703125,0.35691,0
1973-03-28,0.0,0.6875,0.6875,0.6875,0.348979,3200
1973-03-29,0.0,0.679688,0.679688,0.679688,0.345013,9600
1973-03-30,0.0,0.664063,0.664063,0.664063,0.337082,12800
1973-04-02,0.0,0.679688,0.679688,0.679688,0.345013,1600
1973-04-03,0.679688,0.679688,0.679688,0.679688,0.345013,0
1973-04-04,0.0,0.65625,0.65625,0.65625,0.333116,3200
1973-04-05,0.0,0.632813,0.632813,0.632813,0.321219,8000
1973-04-06,0.0,0.640625,0.640625,0.640625,0.325185,1600
1973-04-09,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-04-10,0.0,0.625,0.625,0.625,0.317253,4800
1973-04-11,0.0,0.640625,0.640625,0.640625,0.325185,3200
1973-04-12,0.0,0.640625,0.640625,0.640625,0.325185,4800
1973-04-13,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-04-16,0.0,0.648438,0.648438,0.648438,0.32915,6400
1973-04-17,0.648438,0.648438,0.648438,0.648438,0.32915,0
1973-04-18,0.0,0.640625,0.640625,0.640625,0.325185,6400
1973-04-19,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-04-23,0.0,0.640625,0.640625,0.640625,0.325185,3200
1973-04-24,0.0,0.640625,0.640625,0.640625,0.325185,1600
1973-04-25,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-04-26,0.0,0.640625,0.640625,0.640625,0.325185,6400
1973-04-27,0.0,0.640625,0.640625,0.640625,0.325185,1600
1973-04-30,0.0,0.648438,0.648438,0.648438,0.32915,11200
1973-05-01,0.0,0.640625,0.640625,0.640625,0.325185,3200
1973-05-02,0.0,0.664063,0.664063,0.664063,0.337082,6400
1973-05-03,0.0,0.65625,0.65625,0.65625,0.333116,1600
1973-05-04,0.65625,0.65625,0.65625,0.65625,0.333116,0
1973-05-07,0.0,0.640625,0.640625,0.640625,0.325185,1600
1973-05-08,0.0,0.632813,0.632813,0.632813,0.321219,3200
1973-05-09,0.632813,0.632813,0.632813,0.632813,0.321219,0
1973-05-10,0.632813,0.632813,0.632813,0.632813,0.321219,0
1973-05-11,0.632813,0.632813,0.632813,0.632813,0.321219,0
1973-05-14,0.0,0.625,0.625,0.625,0.317253,4800
1973-05-15,0.0,0.617188,0.617188,0.617188,0.313288,1600
1973-05-16,0.0,0.609375,0.59375,0.59375,0.301391,4800
1973-05-17,0.59375,0.59375,0.59375,0.59375,0.301391,0
1973-05-18,0.0,0.59375,0.59375,0.59375,0.301391,1600
1973-05-21,0.0,0.59375,0.59375,0.59375,0.301391,3200
1973-05-22,0.0,0.578125,0.5625,0.5625,0.285528,11200
1973-05-23,0.0,0.585938,0.570313,0.585938,0.297425,6400
1973-05-24,0.0,0.578125,0.578125,0.578125,0.293459,1600
1973-05-25,0.0,0.601563,0.59375,0.59375,0.301391,4800
1973-05-29,0.0,0.609375,0.59375,0.59375,0.301391,3200
1973-05-30,0.0,0.59375,0.59375,0.59375,0.301391,1600
1973-05-31,0.59375,0.59375,0.59375,0.59375,0.301391,0
1973-06-01,0.59375,0.59375,0.59375,0.59375,0.301391,0
1973-06-04,0.0,0.585938,0.570313,0.570313,0.289494,17600
1973-06-05,0.0,0.570313,0.5625,0.5625,0.285528,6400
1973-06-06,0.5625,0.5625,0.5625,0.5625,0.285528,0
1973-06-07,0.0,0.554688,0.539063,0.539063,0.273631,8000
1973-06-08,0.0,0.554688,0.546875,0.554688,0.281563,11200
1973-06-11,0.0,0.539063,0.53125,0.53125,0.269665,4800
1973-06-12,0.0,0.539063,0.53125,0.53125,0.269665,3200
1973-06-13,0.0,0.546875,0.539063,0.546875,0.277597,16000
1973-06-14,0.546875,0.546875,0.546875,0.546875,0.277597,0
1973-06-15,0.546875,0.546875,0.546875,0.546875,0.277597,0
1973-06-18,0.0,0.554688,0.554688,0.554688,0.281563,1600
1973-06-19,0.0,0.539063,0.53125,0.53125,0.269665,8000
1973-06-20,0.53125,0.53125,0.53125,0.53125,0.269665,0
1973-06-21,0.53125,0.53125,0.53125,0.53125,0.269665,0
1973-06-22,0.53125,0.53125,0.53125,0.53125,0.269665,0
1973-06-25,0.0,0.53125,0.523438,0.523438,0.2657,8000
1973-06-26,0.523438,0.523438,0.523438,0.523438,0.2657,0
1973-06-27,0.523438,0.523438,0.523438,0.523438,0.2657,0
1973-06-28,0.523438,0.523438,0.523438,0.523438,0.2657,0
1973-06-29,0.523438,0.523438,0.523438,0.523438,0.2657,0
1973-07-02,0.523438,0.523438,0.523438,0.523438,0.2657,0
1973-07-03,0.0,0.515625,0.515625,0.515625,0.261734,1600
1973-07-05,0.515625,0.515625,0.515625,0.515625,0.261734,0
1973-07-06,0.0,0.507813,0.507813,0.507813,0.257769,1600
1973-07-09,0.507813,0.507813,0.507813,0.507813,0.257769,0
1973-07-10,0.0,0.554688,0.523438,0.554688,0.281563,9600
1973-07-11,0.0,0.570313,0.570313,0.570313,0.289494,1600
1973-07-12,0.570313,0.570313,0.570313,0.570313,0.289494,0
1973-07-13,0.570313,0.570313,0.570313,0.570313,0.289494,0
1973-07-16,0.0,0.570313,0.5625,0.5625,0.285528,24000
1973-07-17,0.5625,0.5625,0.5625,0.5625,0.285528,0
1973-07-18,0.0,0.578125,0.578125,0.578125,0.293459,1600
1973-07-19,0.578125,0.578125,0.578125,0.578125,0.293459,0
1973-07-20,0.0,0.640625,0.59375,0.625,0.317253,30400
1973-07-23,0.0,0.648438,0.617188,0.640625,0.325185,14400
1973-07-24,0.0,0.640625,0.609375,0.609375,0.309322,9600
1973-07-25,0.0,0.617188,0.601563,0.617188,0.313288,6400
1973-07-26,0.0,0.625,0.625,0.625,0.317253,1600
1973-07-27,0.625,0.625,0.625,0.625,0.317253,0
1973-07-30,0.0,0.625,0.617188,0.625,0.317253,11200
1973-07-31,0.625,0.625,0.625,0.625,0.317253,0
1973-08-01,0.625,0.625,0.625,0.625,0.317253,0
1973-08-02,0.0,0.625,0.625,0.625,0.317253,3200
1973-08-03,0.0,0.625,0.625,0.625,0.317253,4800
1973-08-06,0.625,0.625,0.625,0.625,0.317253,0
1973-08-07,0.625,0.625,0.625,0.625,0.317253,0
1973-08-08,0.625,0.625,0.625,0.625,0.317253,0
1973-08-09,0.0,0.609375,0.59375,0.59375,0.301391,11200
1973-08-10,0.59375,0.59375,0.59375,0.59375,0.301391,0
1973-08-13,0.0,0.617188,0.609375,0.617188,0.313288,6400
1973-08-14,0.0,0.609375,0.601563,0.601563,0.305357,4800
1973-08-15,0.0,0.609375,0.601563,0.609375,0.309322,9600
1973-08-16,0.609375,0.609375,0.609375,0.609375,0.309322,0
1973-08-17,0.0,0.640625,0.625,0.640625,0.325185,9600
1973-08-20,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-08-21,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-08-22,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-08-23,0.640625,0.640625,0.640625,0.640625,0.325185,0
1973-08-24,0.0,0.625,0.625,0.625,0.317253,1600
1973-08-27,0.625,0.625,0.625,0.625,0.317253,0
1973-08-28,0.625,0.625,0.625,0.625,0.317253,0
1973-08-29,0.625,0.625,0.625,0.625,0.317253,0
1973-08-30,0.0,0.609375,0.609375,0.609375,0.309322,1600
1973-08-31,0.609375,0.609375,0.609375,0.609375,0.309322,0
1973-09-04,0.609375,0.609375,0.609375,0.609375,0.309322,0
1973-09-05,0.0,0.601563,0.601563,0.601563,0.305357,1600
1973-09-06,0.601563,0.601563,0.601563,0.601563,0.305357,0
1973-09-07,0.601563,0.601563,0.601563,0.601563,0.305357,0
1973-09-10,0.601563,0.601563,0.601563,0.601563,0.305357,0
1973-09-11,0.601563,0.601563,0.601563,0.601563,0.305357,0
1973-09-12,0.601563,0.601563,0.601563,0.601563,0.305357,0
1973-09-13,0.0,0.59375,0.585938,0.585938,0.297425,3200
